,address,city,country,name,province,reviews.date,reviews.text,reviews.title,reviews.username,lang,translated_text
167,1700 N Livermore Ave,Livermore,US,Hawthorn Suites By Wyndham Livermore Wine Country,CA,8/17/2015,The pillows were way too soft without pillowcases. The mattress was so soft my back was aching. When i awoke in the am since I arrived so late and did not notice I flipped the covers off and there was dried blood on the sheets. I could not leave fast enough. Sorry but never again. The next night I stayed... More,Gravely disappointed,sheldong49,en,The pillows were way too soft without pillowcases. The mattress was so soft my back was aching. When i awoke in the am since I arrived so late and did not notice I flipped the covers off and there was dried blood on the sheets. I could not leave fast enough. Sorry but never again. The next night I stayed... More
180,1700 N Livermore Ave,Livermore,US,Hawthorn Suites By Wyndham Livermore Wine Country,CA,8/4/2016,Fun overnight stay,Wine Tasting,John,en,Fun overnight stay
186,864,Binghamton,US,Fairfield Inn By Marriott Binghamton,Choconut Center,10/26/2014,Great Experience. Nice Staff clean rooms good free breakfast,,A Traveler,en,Great Experience. Nice Staff clean rooms good free breakfast
211,864,Binghamton,US,Fairfield Inn By Marriott Binghamton,Choconut Center,4/25/2015,"We were very happy with our stay. Very nice hotel with super friendly staff. Room was clean and spacious. Had microwave, mini fridge, coffee maker. Pool area and exercise room were nice clean. Continental breakfast had lots of choices and tasted great! Loved that it was just a quick walk next door to dinner. Definitely would recommend to family friends and will absolutely stay again!",Highly recommended!!,A Traveler,en,"We were very happy with our stay. Very nice hotel with super friendly staff. Room was clean and spacious. Had microwave, mini fridge, coffee maker. Pool area and exercise room were nice clean. Continental breakfast had lots of choices and tasted great! Loved that it was just a quick walk next door to dinner. Definitely would recommend to family friends and will absolutely stay again!"
214,864,Binghamton,US,Fairfield Inn By Marriott Binghamton,Choconut Center,8/23/2014,very nice.,"large, clean and comfortable room.",Diping,cs,Very Nice.
221,864,Binghamton,US,Fairfield Inn By Marriott Binghamton,Choconut Center,12/25/2015,"appears to be recently remodelled, rooms were clean and new and very pleasant","Room good, but front desk MIA and sketchy lobby",michael,en,"appears to be recently remodelled, rooms were clean and new and very pleasant"
228,864,Binghamton,US,Fairfield Inn By Marriott Binghamton,Choconut Center,9/5/2015,"We were thrilled with everything from the cleanliness to the top notch breakfast to the kindness of everyone but, the very first person we met. She was the first person we approached behind the counter when we arrived. Later we learned that she was handling both the desk and the Housekeeping roles that night. If I were to judge the facility by this one person, I would have been disappointed in her lack of hospitality in answering our questions: no smile, no patience...cranky. However the rest of our stay, and we did add an extra night, more than made up for it. This was my first getaway in 4 years on ANY kind of vacation/family celebration, so I was really hoping for a good time. I really enjoyed the cleanliness, as I own a cleaning service here in MD. Thank you so much for an overall excellent stay!!!",A long awaited getaway to Binghamton!,Theresa,en,"We were thrilled with everything from the cleanliness to the top notch breakfast to the kindness of everyone but, the very first person we met. She was the first person we approached behind the counter when we arrived. Later we learned that she was handling both the desk and the Housekeeping roles that night. If I were to judge the facility by this one person, I would have been disappointed in her lack of hospitality in answering our questions: no smile, no patience...cranky. However the rest of our stay, and we did add an extra night, more than made up for it. This was my first getaway in 4 years on ANY kind of vacation/family celebration, so I was really hoping for a good time. I really enjoyed the cleanliness, as I own a cleaning service here in MD. Thank you so much for an overall excellent stay!!!"
242,864,Binghamton,US,Fairfield Inn By Marriott Binghamton,Choconut Center,8/15/2014,Hotel seemed clean. Staff was pleasant. Room seemed clean but it smelled very musty. I'm not sure why it smelled that way. It would be much better if they offered rooms with 2 queen beds instead of two double beds.,Room smelled very musty.,A Traveler,en,Hotel seemed clean. Staff was pleasant. Room seemed clean but it smelled very musty. I'm not sure why it smelled that way. It would be much better if they offered rooms with 2 queen beds instead of two double beds.
244,864,Binghamton,US,Fairfield Inn By Marriott Binghamton,Choconut Center,8/6/2016,"Very comfortable. Great spread for a free breakfast buffet. The indoor pool was big enough (not huge), though the room was steamy. Friendly staff.",Comfortable stay,A Traveler,en,"Very comfortable. Great spread for a free breakfast buffet. The indoor pool was big enough (not huge), though the room was steamy. Friendly staff."
268,2700 S Country Club Rd,El Reno,US,Days Inn El Reno Ok,OK,11/24/2015,we stayed for 2 nights the room was clean and beds were comfortable and it was in a good location close to a walmart and fast food resturants,good place,Jennifer,en,we stayed for 2 nights the room was clean and beds were comfortable and it was in a good location close to a walmart and fast food resturants
419,111 N Post Oak Ln,Houston,US,The Houstonian Hotel,Bunker Hill Village,11/28/2015,We loved it!,Great mini getaway for mid 50s couple,A Traveler,en,We loved it!
420,111 N Post Oak Ln,Houston,US,The Houstonian Hotel,Bunker Hill Village,3/12/2016,"We live on the other side of Houston and felt that our stay at the Houstonian was a wonderful getaway. It really felt like we were on holiday. We loved the comfort, the view of the woods and the tranquility of the place.",Tranquil Getaway,Thomas L,en,"We live on the other side of Houston and felt that our stay at the Houstonian was a wonderful getaway. It really felt like we were on holiday. We loved the comfort, the view of the woods and the tranquility of the place."
426,111 N Post Oak Ln,Houston,US,The Houstonian Hotel,Bunker Hill Village,10/23/2015,Wonderful stay! Great couples retreat. Make sure you stay a couple of days to take advantage of all of the amenities including the Trellis Spa. Will definitely be back for our anniversary. Staff is superb and don't forget to eat at the restaurant downstairs Olivette.,Awesome retreat!,Liz,en,Wonderful stay! Great couples retreat. Make sure you stay a couple of days to take advantage of all of the amenities including the Trellis Spa. Will definitely be back for our anniversary. Staff is superb and don't forget to eat at the restaurant downstairs Olivette.
431,111 N Post Oak Ln,Houston,US,The Houstonian Hotel,Bunker Hill Village,1/1/2016,"This hotel is way over rated, it's nothing like the description or the reviews. Basically its Old (very old) building in the heart of apartment complex/parking lot jungle. Furniture is very old, hotel theme feel like 1850s, clean but old. Tge staff is friendly but you can tell they inexperienced , mostly in there 20s. Room it self spacious but old, old carpet and TV. Bathrooms similar to Motels, bedsheets clean, new sheets, but bed is saggy. Surrounding area is jungle, literally!! Misty and not well kept. Lots traffic once you leave parking. Ppl come from surrounding complex apartments to run on trail. Bottom line, money wasted, will never come again.",Most Over Rated hotel,Ahmed,en,"This hotel is way over rated, it's nothing like the description or the reviews. Basically its Old (very old) building in the heart of apartment complex/parking lot jungle. Furniture is very old, hotel theme feel like 1850s, clean but old. Tge staff is friendly but you can tell they inexperienced , mostly in there 20s. Room it self spacious but old, old carpet and TV. Bathrooms similar to Motels, bedsheets clean, new sheets, but bed is saggy. Surrounding area is jungle, literally!! Misty and not well kept. Lots traffic once you leave parking. Ppl come from surrounding complex apartments to run on trail. Bottom line, money wasted, will never come again."
434,111 N Post Oak Ln,Houston,US,The Houstonian Hotel,Bunker Hill Village,8/13/2016,"Great resort facilities, several pools, including a lap pool and an enormous gym. Room was very comfortable. We went for the concierge package, which included complementary drinks, snacks and continental breakfast. Lovely.",Great resort facilities with several pools,Patrice,en,"Great resort facilities, several pools, including a lap pool and an enormous gym. Room was very comfortable. We went for the concierge package, which included complementary drinks, snacks and continental breakfast. Lovely."
448,111 N Post Oak Ln,Houston,US,The Houstonian Hotel,Bunker Hill Village,10/20/2015,Good hotel.,Business conference,Stephen,sl,Good Hotel.
460,111 N Post Oak Ln,Houston,US,The Houstonian Hotel,Bunker Hill Village,8/6/2016,"Beautiful hotel, but very intimidating!! Hard to figure out where the pools were.",Nice hotel for families,Shelley,en,"Beautiful hotel, but very intimidating!! Hard to figure out where the pools were."
461,111 N Post Oak Ln,Houston,US,The Houstonian Hotel,Bunker Hill Village,10/14/2015,"My wife and I stayed at the Houstonian for 3 nights in October. The property was lovely and the room was very comfortable. However the fitness facilities are truly amazing. The property is connected to the Houstonian Club which is a separate sports club that has truly world class facilities. It has 3 pools (a massive lap pool, resort pool and other small quiet pool), the largest gym I have seen anywhere, basketball and tennis courts, a jogging track and at least 5 studios for classes. My wife has been a regular (5 times a week) gym user for over 16 years and she has been a member of many gyms in NYC and London and this is by far the best she has experienced. She went to 3 classes and the studios, instructors and equipment could not have been better. Further there is no need to register for any class you just turn up and participate. In the luxurious locker rooms there is free coffee, tea, ice tea, water etc... We also ate at the bar and Olivette restaurant and the food and service were excellent. My wife also visited the spa and although it was expensive the facilities and service were again of the highest quality.",Amazing Fitness Facilities,Keith,en,"My wife and I stayed at the Houstonian for 3 nights in October. The property was lovely and the room was very comfortable. However the fitness facilities are truly amazing. The property is connected to the Houstonian Club which is a separate sports club that has truly world class facilities. It has 3 pools (a massive lap pool, resort pool and other small quiet pool), the largest gym I have seen anywhere, basketball and tennis courts, a jogging track and at least 5 studios for classes. My wife has been a regular (5 times a week) gym user for over 16 years and she has been a member of many gyms in NYC and London and this is by far the best she has experienced. She went to 3 classes and the studios, instructors and equipment could not have been better. Further there is no need to register for any class you just turn up and participate. In the luxurious locker rooms there is free coffee, tea, ice tea, water etc... We also ate at the bar and Olivette restaurant and the food and service were excellent. My wife also visited the spa and although it was expensive the facilities and service were again of the highest quality."
466,111 N Post Oak Ln,Houston,US,The Houstonian Hotel,Bunker Hill Village,9/23/2016,"Beautiful hotel at a great value! Amazed at what we paid for a room on the concierge floor that included free daily continental breakfast, early evening cocktails and hors d'oeuvres, and after dinner dessert buffet. The Olivette restaurant was spectacular - had dinner there both nights. Will definitely be my go-to hotel any time I'm in Houston!",Luxury hotel without the high price!,A Traveler,en,"Beautiful hotel at a great value! Amazed at what we paid for a room on the concierge floor that included free daily continental breakfast, early evening cocktails and hors d'oeuvres, and after dinner dessert buffet. The Olivette restaurant was spectacular - had dinner there both nights. Will definitely be my go-to hotel any time I'm in Houston!"
821,3100 I 70 Doctor S E,Columbia,US,Howard Johnson Inn Columbia,Elkhurst,6/16/2016,"Hotel was clean, the kids had fun swimming and had a room closet to the pool. Breakfast was good.",Hotel worth the money.,A Traveler,en,"Hotel was clean, the kids had fun swimming and had a room closet to the pool. Breakfast was good."
836,3100 I 70 Doctor S E,Columbia,US,Howard Johnson Inn Columbia,Elkhurst,11/5/2015,The stay was good except for the room not being cleaned before we checked in,Nice hotel but room not clean,Sandra,en,The stay was good except for the room not being cleaned before we checked in
846,3100 I 70 Doctor S E,Columbia,US,Howard Johnson Inn Columbia,Elkhurst,10/11/2015,"They allow pets (dogs only) in this hotel, which is probably great for pet owners, but not so great when the dogs have accidents, and the hallway smells of doggy poo. It was cleaned up, but the smell did linger. Otherwise hotel was a good value for the price. And I would recommend to people who absolutely have to take their dogs with them while they travel.","Workers very friendly, Hotel need cleaner",Linda,en,"They allow pets (dogs only) in this hotel, which is probably great for pet owners, but not so great when the dogs have accidents, and the hallway smells of doggy poo. It was cleaned up, but the smell did linger. Otherwise hotel was a good value for the price. And I would recommend to people who absolutely have to take their dogs with them while they travel."
855,3100 I 70 Doctor S E,Columbia,US,Howard Johnson Inn Columbia,Elkhurst,3/18/2016,"The hotel is in a prime location. Close to the highway and easy to get to. Breakfast was OK, but lacked variety. Some eggs and more fruit options would have been nice. The other issue is how loud it was in the halls at night. Doors banging and people talking went right through the walls. Hard to get a good night sleep. The front desk was very helpful and friendly. I did have trouble accessing the WiFi. Overall it wasn't a bad stay but there were issues.",Coach gives it a B-,Mark,en,"The hotel is in a prime location. Close to the highway and easy to get to. Breakfast was OK, but lacked variety. Some eggs and more fruit options would have been nice. The other issue is how loud it was in the halls at night. Doors banging and people talking went right through the walls. Hard to get a good night sleep. The front desk was very helpful and friendly. I did have trouble accessing the WiFi. Overall it wasn't a bad stay but there were issues."
880,3100 I 70 Doctor S E,Columbia,US,Howard Johnson Inn Columbia,Elkhurst,10/14/2016,"Room needed updating, but for the price I could deal with that. What I couldn't overlook was the layer of dust and cobwebs covering the drapes that blows all over the room every time the air kicks on, or the toilet that isn't attached to the floor properly, or the drafty window, mildew stained tile, torn curtains, and cracked microwave door. I also wasn't expecting to spend all night smelling the food from the banquet rooms downstairs. I wasn't expecting to be amazed at the price I paid for this room, but I was at least expecting to have had them keep up with routine maintenance and cleaning, and maybe put in some air fresheners in the hallway to counteract the smells from the banquets. Overall, the bed was comfortable, the shower was hot, and I only needed someplace for 1 night to attend a conference at the university, so it served it's purpose.","Great price, but needs an update",A Traveler,en,"Room needed updating, but for the price I could deal with that. What I couldn't overlook was the layer of dust and cobwebs covering the drapes that blows all over the room every time the air kicks on, or the toilet that isn't attached to the floor properly, or the drafty window, mildew stained tile, torn curtains, and cracked microwave door. I also wasn't expecting to spend all night smelling the food from the banquet rooms downstairs. I wasn't expecting to be amazed at the price I paid for this room, but I was at least expecting to have had them keep up with routine maintenance and cleaning, and maybe put in some air fresheners in the hallway to counteract the smells from the banquets. Overall, the bed was comfortable, the shower was hot, and I only needed someplace for 1 night to attend a conference at the university, so it served it's purpose."
913,5719 Fairfield Rd,Columbia,US,Super 8 Columbia Dwntwn Sc,SC,5/8/2014,"I was really impressed by this Super 8 motel and would recommend it for anybody wanting to or having to be in Columbia, SC.",Super Gr8!,Mike A.,en,"I was really impressed by this Super 8 motel and would recommend it for anybody wanting to or having to be in Columbia, SC."
921,5719 Fairfield Rd,Columbia,US,Super 8 Columbia Dwntwn Sc,SC,7/21/2016,"I am very disappointed that the janitor took my personal face cloth and the bath tub drain looked like a scorpion and there was dust on the bathroom wall,air conditioner,and furniture and most importantly just because I booked my room through 3rd party they did not give me a receipt which is not",It had a spider near my hotel room,R,en,"I am very disappointed that the janitor took my personal face cloth and the bath tub drain looked like a scorpion and there was dust on the bathroom wall,air conditioner,and furniture and most importantly just because I booked my room through 3rd party they did not give me a receipt which is not"
927,Carretera Cancun,Mont Belvieu,US,Azul Beach Hotel By Karisma Gourmet Inclusive,TX,7/1/2015,"I'ts a nice medium size hotel on the beach. With two stories buildings and a few pools spread out. The best part was definitely the staff They truly seem to enjoy their jobs and that makes all the difference. We stayed for four days and had a great, relaxing time. We went as a couple, but could come back with our children: There's a kid's club and some of the rooms have direct access -right of the back door- to a canal system that connect to one pool. If you walk down the beach, five minutes away, you will end crossing a nude beach/hotel. If you have a problem seeing naked people enjoying the sun, walk the other side (to the docks)",Excellent staff. Front beach. Nice setup.,Alejandro,en,"I'ts a nice medium size hotel on the beach. With two stories buildings and a few pools spread out. The best part was definitely the staff They truly seem to enjoy their jobs and that makes all the difference. We stayed for four days and had a great, relaxing time. We went as a couple, but could come back with our children: There's a kid's club and some of the rooms have direct access -right of the back door- to a canal system that connect to one pool. If you walk down the beach, five minutes away, you will end crossing a nude beach/hotel. If you have a problem seeing naked people enjoying the sun, walk the other side (to the docks)"
960,2316 Shepherd,Branson,US,Days Inn Branson / Near The Strip,Bull Creek Village,6/29/2015,"For starters, hotel staff was great. Very pleasant. However, upon entering the room, I discovered that it needed to be vacuumed and the bathroom was a bit dated. When I woke the next morning, I could see sunshine coming through the edges of the door. While I wasn't concerned for my safety, I did wonder how many bugs were coming to visit me during the night!!","Decent hotel. Needs some refurb, though.",Skot,en,"For starters, hotel staff was great. Very pleasant. However, upon entering the room, I discovered that it needed to be vacuumed and the bathroom was a bit dated. When I woke the next morning, I could see sunshine coming through the edges of the door. While I wasn't concerned for my safety, I did wonder how many bugs were coming to visit me during the night!!"
961,2316 Shepherd,Branson,US,Days Inn Branson / Near The Strip,Bull Creek Village,6/8/2016,"have stayed there before.... Clean, continental breakfast is a continental breakfast..... quiet. and easy to get in and out of. Beginning to need some make over from the amount of traffice it serves.....",Nice Motel out of the main traffice..easy to find,Skot,en,"have stayed there before.... Clean, continental breakfast is a continental breakfast..... quiet. and easy to get in and out of. Beginning to need some make over from the amount of traffice it serves....."
1001,2316 Shepherd,Branson,US,Days Inn Branson / Near The Strip,Bull Creek Village,7/26/2016,Have stayed at this motel several times - highly recommend it. Front desk very friendly and helpful. The rest of the staff were very pleasant. The hot full breakfast was beyond words.,Fantastic,Juanita,en,Have stayed at this motel several times - highly recommend it. Front desk very friendly and helpful. The rest of the staff were very pleasant. The hot full breakfast was beyond words.
1089,4963 Southport Supply Rd,Southport,US,Comfort Suites Southport,Blng Spg Lks,3/12/2015,The staff was very friendly and efficient. An added touch was the fresh popcorn made each afternoon. It was a welcome surprise. Another feature that adds to my stay is the inclusion of breakfast and a fresh cup of coffee. My only complaint is that sound was easily heard between rooms. It seems many hotels have this problem. Other than that I have a very pleasant stay.,Very comfortable hotel close to my future home.,Diana,en,The staff was very friendly and efficient. An added touch was the fresh popcorn made each afternoon. It was a welcome surprise. Another feature that adds to my stay is the inclusion of breakfast and a fresh cup of coffee. My only complaint is that sound was easily heard between rooms. It seems many hotels have this problem. Other than that I have a very pleasant stay.
1103,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,3/26/2016,Relaxing. Nice and peaceful.,Time to relax.,James,en,Relaxing. Nice and peaceful.
1105,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,4/22/2016,The hotel was great for our stay. It was a couples trip for beach week. The only things I didn't like was the cleanliness of the bathroom. And as a women that's a big part of staying in the hotel,Updates needed,Aquirah,en,The hotel was great for our stay. It was a couples trip for beach week. The only things I didn't like was the cleanliness of the bathroom. And as a women that's a big part of staying in the hotel
1135,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,4/8/2016,"Good hotel for the price. Convenient location. Short walk to the beach and boardwalk. Friendly, accommodating and helpful staff.",Good Hotel For The Price,L,en,"Good hotel for the price. Convenient location. Short walk to the beach and boardwalk. Friendly, accommodating and helpful staff."
1162,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,10/10/2016,The staff was very friendly and our room was clean. Perfect size and location for a getaway.,Nice hotel and staff.,A Traveler,en,The staff was very friendly and our room was clean. Perfect size and location for a getaway.
1165,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,7/1/2016,Clean.Reasonably priced.Still not to far from the beach.,Staff super nice.,A Traveler,en,Clean.Reasonably priced.Still not to far from the beach.
1168,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,9/15/2016,"The staff was friendly and helpful, the room needed alot of improvement. Broken bathroom door and dirty carpet.",Walking distance to ocean and boardwalk,A Traveler,en,"The staff was friendly and helpful, the room needed alot of improvement. Broken bathroom door and dirty carpet."
1171,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,9/4/2016,One night stay. Great price and close to the beach for the music festival only there to sleep. Room had been updated a little but microwave dirty and pet hair in the floor,Web pics are fake! Run away!,A Traveler,en,One night stay. Great price and close to the beach for the music festival only there to sleep. Room had been updated a little but microwave dirty and pet hair in the floor
1195,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,9/5/2015,"Considering how much they charged us, the room was in poor shape, needs a lot of work to bring it up to par.",Poorly Maintained Hotel,John,en,"Considering how much they charged us, the room was in poor shape, needs a lot of work to bring it up to par."
1197,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,9/5/2015,"Overpriced for the quality and location. It was Labor Day weekend so I expected to pay more but, paying over 300/night for a room that was worth a third of that was hard to swallow. If the price was right during a normal weekend, I'd consider staying there again. Rooms need an upgrade.",A healthy walk to the beach,Robert,en,"Overpriced for the quality and location. It was Labor Day weekend so I expected to pay more but, paying over 300/night for a room that was worth a third of that was hard to swallow. If the price was right during a normal weekend, I'd consider staying there again. Rooms need an upgrade."
1200,716 21st St,Virginia Beach,US,Ambassadors Inn and Suites,VA,9/3/2016,"Poor cancellation policy, governor of VA declared state of emergency and asked people not to travel, still had to pay for room",Stay Away,A Traveler,en,"Poor cancellation policy, governor of VA declared state of emergency and asked people not to travel, still had to pay for room"
1209,Europark Fichtenhain A1,Terre Haute,US,Tryp Dusseldorf Krefeld Hotel,IN,10/11/2014,"Vielen Dank fr Ihr freundliches und gepflegtes Hotel. Wer Sauberkeit schtzt, sollte hier schlafen. Auch wenn es 10 Euro mehr sind als in der City.",09 Oktober 1 ��bernachtung,Ingo,de,"Thank you for your friendly and well-kept hotel. If you enjoy cleanliness, you should sleep here. Even if there are 10 euros more than in the city."
1215,Europark Fichtenhain A1,Terre Haute,US,Tryp Dusseldorf Krefeld Hotel,IN,11/2/2014,"Overall a good stay, but with unfulfilled expectations i.e. the web booking suggested that there would be coffee making facilities in the room ---NOT SO the web booking suggested that there would be bottled water in the room ---NOT SO ( but was given on request) The staff on duty said they would get back to me immediately about the discrepancy between the web booking promises the actual facilities in my normal/basic room however after 2 weeks I have had no response",Unfulfilled needs ( whcih were promised in the web,A Traveler,en,"Overall a good stay, but with unfulfilled expectations i.e. the web booking suggested that there would be coffee making facilities in the room ---NOT SO the web booking suggested that there would be bottled water in the room ---NOT SO ( but was given on request) The staff on duty said they would get back to me immediately about the discrepancy between the web booking promises the actual facilities in my normal/basic room however after 2 weeks I have had no response"
1259,Europark Fichtenhain A1,Terre Haute,US,Tryp Dusseldorf Krefeld Hotel,IN,7/15/2016,Das Hotel war im Groen und Ganzen in Ordnung nur die Umgebung mit der Baustelle war nicht so prickelnd,sauberes DurchschnittsHotel,Kiridharan,de,The hotel was in great and all okay only the environment with the construction site was not so pricking
1310,Avenida Joan Miro 21,Clifton,US,Gran Melia Victoria,NJ,10/15/2014,The hotel is on the main seafront road so lovely views across the marina and to the cathedral. The hotel decor is classic and luxurious. Our room was located on the first floor. Not much of a view and close to the lifts but very spacious and comfortable. Breakfast was very good - cava included - but we got a better price at the desk. We used the outside pool area which was lovely and also enjoyed drinks on the terrace bar. Pricey but worth it for the view. Overall would recommend for a stay in Palma and will definitely return.,Lovely classic hotel,misstiny_99,en,The hotel is on the main seafront road so lovely views across the marina and to the cathedral. The hotel decor is classic and luxurious. Our room was located on the first floor. Not much of a view and close to the lifts but very spacious and comfortable. Breakfast was very good - cava included - but we got a better price at the desk. We used the outside pool area which was lovely and also enjoyed drinks on the terrace bar. Pricey but worth it for the view. Overall would recommend for a stay in Palma and will definitely return.
1311,Avenida Joan Miro 21,Clifton,US,Gran Melia Victoria,NJ,6/4/2016,"Amazing staff, location, food and facilities. The care of customers exceeded my expectation and was above and beyond customer service. Food menu for breakfast was phenomenal. Easy to get in and out of town if you get car hire. Perfect coast for the morning or evening jog. Room was specious with great view and great housekeeping surprises. Front desk staff spoke I am not even sure how many languages and went above and beyond when my suitcase didn't arrive. Highly recommended my mom and I this hotel if you looking for classic historic luxury with old school customer service! Nothing but phenomenal experience!",Classic Luxury,misstiny_99,en,"Amazing staff, location, food and facilities. The care of customers exceeded my expectation and was above and beyond customer service. Food menu for breakfast was phenomenal. Easy to get in and out of town if you get car hire. Perfect coast for the morning or evening jog. Room was specious with great view and great housekeeping surprises. Front desk staff spoke I am not even sure how many languages and went above and beyond when my suitcase didn't arrive. Highly recommended my mom and I this hotel if you looking for classic historic luxury with old school customer service! Nothing but phenomenal experience!"
1313,Avenida Joan Miro 21,Clifton,US,Gran Melia Victoria,NJ,6/17/2015,"This was our anniversary, and it was a fitting and memorable stay. Great location also.","Nice hotel, great room, excellent decor.",A Traveler,en,"This was our anniversary, and it was a fitting and memorable stay. Great location also."
1333,Avenida Joan Miro 21,Clifton,US,Gran Melia Victoria,NJ,9/15/2016,Amazing hotel with incredible views. Great service as well.,Great luxury hotel overlooking the harbour,A Traveler,en,Amazing hotel with incredible views. Great service as well.
