"","X","address","city","country","name","province","reviews.date","reviews.text","reviews.title","reviews.username","lang","translated_text","cleaned_text","ratings_tf","rating"
"26",448,"111 N Post Oak Ln","Houston","US","The Houstonian Hotel","Bunker Hill Village","10/20/2015","Good hotel.","Business conference","Stephen","sl","Good Hotel.","good hotel",3,3
"27",460,"111 N Post Oak Ln","Houston","US","The Houstonian Hotel","Bunker Hill Village","8/6/2016","Beautiful hotel, but very intimidating!! Hard to figure out where the pools were.","Nice hotel for families","Shelley","en","Beautiful hotel, but very intimidating!! Hard to figure out where the pools were.","beautiful hotel intimidate hard figure pool ",1,3
"28",461,"111 N Post Oak Ln","Houston","US","The Houstonian Hotel","Bunker Hill Village","10/14/2015","My wife and I stayed at the Houstonian for 3 nights in October. The property was lovely and the room was very comfortable. However the fitness facilities are truly amazing. The property is connected to the Houstonian Club which is a separate sports club that has truly world class facilities. It has 3 pools (a massive lap pool, resort pool and other small quiet pool), the largest gym I have seen anywhere, basketball and tennis courts, a jogging track and at least 5 studios for classes. My wife has been a regular (5 times a week) gym user for over 16 years and she has been a member of many gyms in NYC and London and this is by far the best she has experienced. She went to 3 classes and the studios, instructors and equipment could not have been better. Further there is no need to register for any class you just turn up and participate. In the luxurious locker rooms there is free coffee, tea, ice tea, water etc... We also ate at the bar and Olivette restaurant and the food and service were excellent. My wife also visited the spa and although it was expensive the facilities and service were again of the highest quality.","Amazing Fitness Facilities","Keith","en","My wife and I stayed at the Houstonian for 3 nights in October. The property was lovely and the room was very comfortable. However the fitness facilities are truly amazing. The property is connected to the Houstonian Club which is a separate sports club that has truly world class facilities. It has 3 pools (a massive lap pool, resort pool and other small quiet pool), the largest gym I have seen anywhere, basketball and tennis courts, a jogging track and at least 5 studios for classes. My wife has been a regular (5 times a week) gym user for over 16 years and she has been a member of many gyms in NYC and London and this is by far the best she has experienced. She went to 3 classes and the studios, instructors and equipment could not have been better. Further there is no need to register for any class you just turn up and participate. In the luxurious locker rooms there is free coffee, tea, ice tea, water etc... We also ate at the bar and Olivette restaurant and the food and service were excellent. My wife also visited the spa and although it was expensive the facilities and service were again of the highest quality."," wife stay houstonian night october property lovely room comfortable however fitness facility truly amaze property connect houstonian club separate sport club truly world class facility pool massive lap pool resort pool small quiet pool large gym see anywhere basketball tennis court jog track less studio class wife regular time week gym user year member many gym nyc london far good experience go class studio instructor equipment can good far need register class just turn participate luxurious locker room free coffee tea ice tea water etc also eat bar olivette restaurant food service excellent wife also visit spa although expensive facility service high quality",3,5
"29",466,"111 N Post Oak Ln","Houston","US","The Houstonian Hotel","Bunker Hill Village","9/23/2016","Beautiful hotel at a great value! Amazed at what we paid for a room on the concierge floor that included free daily continental breakfast, early evening cocktails and hors d'oeuvres, and after dinner dessert buffet. The Olivette restaurant was spectacular - had dinner there both nights. Will definitely be my go-to hotel any time I'm in Houston!","Luxury hotel without the high price!","A Traveler","en","Beautiful hotel at a great value! Amazed at what we paid for a room on the concierge floor that included free daily continental breakfast, early evening cocktails and hors d'oeuvres, and after dinner dessert buffet. The Olivette restaurant was spectacular - had dinner there both nights. Will definitely be my go-to hotel any time I'm in Houston!","beautiful hotel great value amaze pay room concierge floor include free daily continental breakfast early even cocktail hors doeuvres dinner dessert buffet olivette restaurant spectacular dinner night will definitely go hotel time im houston",3,4
"30",821,"3100 I 70 Doctor S E","Columbia","US","Howard Johnson Inn Columbia","Elkhurst","6/16/2016","Hotel was clean, the kids had fun swimming and had a room closet to the pool. Breakfast was good.","Hotel worth the money.","A Traveler","en","Hotel was clean, the kids had fun swimming and had a room closet to the pool. Breakfast was good.","hotel clean kid fun swim room closet pool breakfast good",3,5
"31",836,"3100 I 70 Doctor S E","Columbia","US","Howard Johnson Inn Columbia","Elkhurst","11/5/2015","The stay was good except for the room not being cleaned before we checked in","Nice hotel but room not clean","Sandra","en","The stay was good except for the room not being cleaned before we checked in"," stay good except room clean check ",3,3
"32",846,"3100 I 70 Doctor S E","Columbia","US","Howard Johnson Inn Columbia","Elkhurst","10/11/2015","They allow pets (dogs only) in this hotel, which is probably great for pet owners, but not so great when the dogs have accidents, and the hallway smells of doggy poo. It was cleaned up, but the smell did linger. Otherwise hotel was a good value for the price. And I would recommend to people who absolutely have to take their dogs with them while they travel.","Workers very friendly, Hotel need cleaner","Linda","en","They allow pets (dogs only) in this hotel, which is probably great for pet owners, but not so great when the dogs have accidents, and the hallway smells of doggy poo. It was cleaned up, but the smell did linger. Otherwise hotel was a good value for the price. And I would recommend to people who absolutely have to take their dogs with them while they travel."," allow pet dog hotel probably great pet owner great dog accident hallway smell doggy poo clean smell linger otherwise hotel good value price recommend people absolutely take dog travel",3,2
"33",855,"3100 I 70 Doctor S E","Columbia","US","Howard Johnson Inn Columbia","Elkhurst","3/18/2016","The hotel is in a prime location. Close to the highway and easy to get to. Breakfast was OK, but lacked variety. Some eggs and more fruit options would have been nice. The other issue is how loud it was in the halls at night. Doors banging and people talking went right through the walls. Hard to get a good night sleep. The front desk was very helpful and friendly. I did have trouble accessing the WiFi. Overall it wasn't a bad stay but there were issues.","Coach gives it a B-","Mark","en","The hotel is in a prime location. Close to the highway and easy to get to. Breakfast was OK, but lacked variety. Some eggs and more fruit options would have been nice. The other issue is how loud it was in the halls at night. Doors banging and people talking went right through the walls. Hard to get a good night sleep. The front desk was very helpful and friendly. I did have trouble accessing the WiFi. Overall it wasn't a bad stay but there were issues."," hotel prime location close highway easy get breakfast okay lack variety egg much fruit option nice issue loud hall night door bang people talk go right wall hard get good night sleep front desk helpful friendly trouble access wifi overall wasnt bad stay issue",1,5
"34",880,"3100 I 70 Doctor S E","Columbia","US","Howard Johnson Inn Columbia","Elkhurst","10/14/2016","Room needed updating, but for the price I could deal with that. What I couldn't overlook was the layer of dust and cobwebs covering the drapes that blows all over the room every time the air kicks on, or the toilet that isn't attached to the floor properly, or the drafty window, mildew stained tile, torn curtains, and cracked microwave door. I also wasn't expecting to spend all night smelling the food from the banquet rooms downstairs. I wasn't expecting to be amazed at the price I paid for this room, but I was at least expecting to have had them keep up with routine maintenance and cleaning, and maybe put in some air fresheners in the hallway to counteract the smells from the banquets. Overall, the bed was comfortable, the shower was hot, and I only needed someplace for 1 night to attend a conference at the university, so it served it's purpose.","Great price, but needs an update","A Traveler","en","Room needed updating, but for the price I could deal with that. What I couldn't overlook was the layer of dust and cobwebs covering the drapes that blows all over the room every time the air kicks on, or the toilet that isn't attached to the floor properly, or the drafty window, mildew stained tile, torn curtains, and cracked microwave door. I also wasn't expecting to spend all night smelling the food from the banquet rooms downstairs. I wasn't expecting to be amazed at the price I paid for this room, but I was at least expecting to have had them keep up with routine maintenance and cleaning, and maybe put in some air fresheners in the hallway to counteract the smells from the banquets. Overall, the bed was comfortable, the shower was hot, and I only needed someplace for 1 night to attend a conference at the university, so it served it's purpose.","room need update price can deal couldnt overlook layer dust cobweb cover drape blow room every time air kick toilet isnt attach floor properly drafty window mildew stain tile tear curtain crack microwave door also wasnt expect spend night smell food banquet room downstairs wasnt expect amaze price pay room less expect keep routine maintenance clean maybe put air freshener hallway counteract smell banquet overall bed comfortable shower hot need someplace night attend conference university serve purpose",3,2
"35",913,"5719 Fairfield Rd","Columbia","US","Super 8 Columbia Dwntwn Sc","SC","5/8/2014","I was really impressed by this Super 8 motel and would recommend it for anybody wanting to or having to be in Columbia, SC.","Super Gr8!","Mike A.","en","I was really impressed by this Super 8 motel and would recommend it for anybody wanting to or having to be in Columbia, SC."," really impress super motel recommend anybody want columbia sc",3,2
"36",921,"5719 Fairfield Rd","Columbia","US","Super 8 Columbia Dwntwn Sc","SC","7/21/2016","I am very disappointed that the janitor took my personal face cloth and the bath tub drain looked like a scorpion and there was dust on the bathroom wall,air conditioner,and furniture and most importantly just because I booked my room through 3rd party they did not give me a receipt which is not","It had a spider near my hotel room","R","en","I am very disappointed that the janitor took my personal face cloth and the bath tub drain looked like a scorpion and there was dust on the bathroom wall,air conditioner,and furniture and most importantly just because I booked my room through 3rd party they did not give me a receipt which is not"," disappoint janitor take personal face cloth bath tub drain look like scorpion dust bathroom wall air conditioner furniture much importantly just book room rd party give receipt ",1,1
"37",927,"Carretera Cancun","Mont Belvieu","US","Azul Beach Hotel By Karisma Gourmet Inclusive","TX","7/1/2015","I'ts a nice medium size hotel on the beach. With two stories buildings and a few pools spread out. The best part was definitely the staff They truly seem to enjoy their jobs and that makes all the difference. We stayed for four days and had a great, relaxing time. We went as a couple, but could come back with our children: There's a kid's club and some of the rooms have direct access -right of the back door- to a canal system that connect to one pool. If you walk down the beach, five minutes away, you will end crossing a nude beach/hotel. If you have a problem seeing naked people enjoying the sun, walk the other side (to the docks)","Excellent staff. Front beach. Nice setup.","Alejandro","en","I'ts a nice medium size hotel on the beach. With two stories buildings and a few pools spread out. The best part was definitely the staff They truly seem to enjoy their jobs and that makes all the difference. We stayed for four days and had a great, relaxing time. We went as a couple, but could come back with our children: There's a kid's club and some of the rooms have direct access -right of the back door- to a canal system that connect to one pool. If you walk down the beach, five minutes away, you will end crossing a nude beach/hotel. If you have a problem seeing naked people enjoying the sun, walk the other side (to the docks)"," nice medium size hotel beach two story building pool spread good part definitely staff truly seem enjoy job make difference stay four day great relax time go couple can come back child theres kids club room direct access right back door canal system connect one pool walk beach five minute away will end cross nude beach hotel problem see naked people enjoy sun walk side dock ",1,4
"38",960,"2316 Shepherd","Branson","US","Days Inn Branson / Near The Strip","Bull Creek Village","6/29/2015","For starters, hotel staff was great. Very pleasant. However, upon entering the room, I discovered that it needed to be vacuumed and the bathroom was a bit dated. When I woke the next morning, I could see sunshine coming through the edges of the door. While I wasn't concerned for my safety, I did wonder how many bugs were coming to visit me during the night!!","Decent hotel. Needs some refurb, though.","Skot","en","For starters, hotel staff was great. Very pleasant. However, upon entering the room, I discovered that it needed to be vacuumed and the bathroom was a bit dated. When I woke the next morning, I could see sunshine coming through the edges of the door. While I wasn't concerned for my safety, I did wonder how many bugs were coming to visit me during the night!!"," starter hotel staff great pleasant however upon enter room discover need vacuum bathroom bite date wake next morning can see sunshine come edge door wasnt concern safety wonder many bug come visit night",3,4
"39",961,"2316 Shepherd","Branson","US","Days Inn Branson / Near The Strip","Bull Creek Village","6/8/2016","have stayed there before.... Clean, continental breakfast is a continental breakfast..... quiet. and easy to get in and out of. Beginning to need some make over from the amount of traffice it serves.....","Nice Motel out of the main traffice..easy to find","Skot","en","have stayed there before.... Clean, continental breakfast is a continental breakfast..... quiet. and easy to get in and out of. Beginning to need some make over from the amount of traffice it serves....."," stay clean continental breakfast continental breakfast quiet easy get begin need make amount traffice serve",3,4
"40",1001,"2316 Shepherd","Branson","US","Days Inn Branson / Near The Strip","Bull Creek Village","7/26/2016","Have stayed at this motel several times - highly recommend it. Front desk very friendly and helpful. The rest of the staff were very pleasant. The hot full breakfast was beyond words.","Fantastic","Juanita","en","Have stayed at this motel several times - highly recommend it. Front desk very friendly and helpful. The rest of the staff were very pleasant. The hot full breakfast was beyond words."," stay motel several time highly recommend front desk friendly helpful rest staff pleasant hot full breakfast beyond word",3,5
"41",1089,"4963 Southport Supply Rd","Southport","US","Comfort Suites Southport","Blng Spg Lks","3/12/2015","The staff was very friendly and efficient. An added touch was the fresh popcorn made each afternoon. It was a welcome surprise. Another feature that adds to my stay is the inclusion of breakfast and a fresh cup of coffee. My only complaint is that sound was easily heard between rooms. It seems many hotels have this problem. Other than that I have a very pleasant stay.","Very comfortable hotel close to my future home.","Diana","en","The staff was very friendly and efficient. An added touch was the fresh popcorn made each afternoon. It was a welcome surprise. Another feature that adds to my stay is the inclusion of breakfast and a fresh cup of coffee. My only complaint is that sound was easily heard between rooms. It seems many hotels have this problem. Other than that I have a very pleasant stay."," staff friendly efficient add touch fresh popcorn make afternoon welcome surprise another feature add stay inclusion breakfast fresh cup coffee complaint sound easily hear room seem many hotel problem pleasant stay",1,5
"42",1103,"716 21st St","Virginia Beach","US","Ambassadors Inn and Suites","VA","3/26/2016","Relaxing. Nice and peaceful.","Time to relax.","James","en","Relaxing. Nice and peaceful.","relax nice peaceful",3,3
"43",1105,"716 21st St","Virginia Beach","US","Ambassadors Inn and Suites","VA","4/22/2016","The hotel was great for our stay. It was a couples trip for beach week. The only things I didn't like was the cleanliness of the bathroom. And as a women that's a big part of staying in the hotel","Updates needed","Aquirah","en","The hotel was great for our stay. It was a couples trip for beach week. The only things I didn't like was the cleanliness of the bathroom. And as a women that's a big part of staying in the hotel"," hotel great stay couple trip beach week thing didnt like cleanliness bathroom woman thats big part stay hotel",3,3
"44",1135,"716 21st St","Virginia Beach","US","Ambassadors Inn and Suites","VA","4/8/2016","Good hotel for the price. Convenient location. Short walk to the beach and boardwalk. Friendly, accommodating and helpful staff.","Good Hotel For The Price","L","en","Good hotel for the price. Convenient location. Short walk to the beach and boardwalk. Friendly, accommodating and helpful staff.","good hotel price convenient location short walk beach boardwalk friendly accommodate helpful staff",3,5
"45",1162,"716 21st St","Virginia Beach","US","Ambassadors Inn and Suites","VA","10/10/2016","The staff was very friendly and our room was clean. Perfect size and location for a getaway.","Nice hotel and staff.","A Traveler","en","The staff was very friendly and our room was clean. Perfect size and location for a getaway."," staff friendly room clean perfect size location getaway",3,4
"46",1165,"716 21st St","Virginia Beach","US","Ambassadors Inn and Suites","VA","7/1/2016","Clean.Reasonably priced.Still not to far from the beach.","Staff super nice.","A Traveler","en","Clean.Reasonably priced.Still not to far from the beach.","clean reasonably price still far beach",3,3
"47",1168,"716 21st St","Virginia Beach","US","Ambassadors Inn and Suites","VA","9/15/2016","The staff was friendly and helpful, the room needed alot of improvement. Broken bathroom door and dirty carpet.","Walking distance to ocean and boardwalk","A Traveler","en","The staff was friendly and helpful, the room needed alot of improvement. Broken bathroom door and dirty carpet."," staff friendly helpful room need alot improvement break bathroom door dirty carpet",3,3
"48",1171,"716 21st St","Virginia Beach","US","Ambassadors Inn and Suites","VA","9/4/2016","One night stay. Great price and close to the beach for the music festival only there to sleep. Room had been updated a little but microwave dirty and pet hair in the floor","Web pics are fake! Run away!","A Traveler","en","One night stay. Great price and close to the beach for the music festival only there to sleep. Room had been updated a little but microwave dirty and pet hair in the floor","one night stay great price close beach music festival sleep room update little microwave dirty pet hair floor",3,2
